InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Arch,LocalDiskType,NVMeSupported,LocalDiskSize,LocalDiskCount
c3.8xlarge,,,32.0,60.0,,2.043,0.776700,ap-northeast-1,apne1-az4,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,2.117,0.756900,ap-southeast-1,apse1-az1,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,2.117,0.506000,ap-southeast-1,apse1-az2,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,2.117,0.771000,ap-southeast-2,apse2-az1,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,2.117,1.029400,ap-southeast-2,apse2-az2,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,2.117,1.113300,ap-southeast-2,apse2-az3,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,2.064,1.069200,eu-central-1,euc1-az2,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,2.064,0.693000,eu-central-1,euc1-az3,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.912,0.811800,eu-west-1,euw1-az1,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.912,0.822400,eu-west-1,euw1-az2,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.912,0.820800,eu-west-1,euw1-az3,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.68,0.895100,us-east-1,use1-az2,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.68,0.485500,us-east-1,use1-az3,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.68,0.802900,us-east-1,use1-az4,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.68,0.790700,us-east-1,use1-az6,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.912,0.602900,us-west-1,usw1-az1,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.912,0.604500,us-west-1,usw1-az3,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.68,0.632200,us-west-2,usw2-az1,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.68,0.622300,us-west-2,usw2-az2,x86_64,ssd,False,320.0,2.0
c3.8xlarge,,,32.0,60.0,,1.68,0.546500,us-west-2,usw2-az3,x86_64,ssd,False,320.0,2.0
c3.large,,,2.0,3.75,,0.128,0.044500,ap-northeast-1,apne1-az1,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.128,0.047500,ap-northeast-1,apne1-az4,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.132,0.047500,ap-southeast-1,apse1-az1,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.132,0.046800,ap-southeast-1,apse1-az2,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.132,0.034400,ap-southeast-2,apse2-az1,i386,ssd,False,16.0,2.0
c3.large,,,2.0,3.75,,0.132,0.032600,ap-southeast-2,apse2-az2,i386,ssd,False,16.0,2.0
