InstanceType,UpstreamCloudId,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
hyperstack__2xL40_48GB__60__116,n3-L40x2,60.0,116,L40,2.0,"{""Gpus"":[{""Name"":""L40"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":98304}}],""TotalGpuMemoryInMiB"":196608}",CA,CANADA-1,2.0,
hyperstack__4xL40_48GB__124__232,n3-L40x4,124.0,232,L40,4.0,"{""Gpus"":[{""Name"":""L40"",""Count"":4,""MemoryInfo"":{""SizeInMiB"":196608}}],""TotalGpuMemoryInMiB"":786432}",CA,CANADA-1,4.0,
hyperstack__8xL40_48GB__252__464,n3-L40x8,252.0,464,L40,8.0,"{""Gpus"":[{""Name"":""L40"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":393216}}],""TotalGpuMemoryInMiB"":3145728}",CA,CANADA-1,8.0,
oblivus__1xL40_48GB__28__58,L40,28.0,58,L40,1.0,"{""Gpus"":[{""Name"":""L40"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",CA,MON1,1.0555,
oblivus__2xL40_48GB__60__116,L40,60.0,116,L40,2.0,"{""Gpus"":[{""Name"":""L40"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":98304}}],""TotalGpuMemoryInMiB"":196608}",CA,MON1,2.1055,
oblivus__4xL40_48GB__124__232,L40,124.0,232,L40,4.0,"{""Gpus"":[{""Name"":""L40"",""Count"":4,""MemoryInfo"":{""SizeInMiB"":196608}}],""TotalGpuMemoryInMiB"":786432}",CA,MON1,4.2055,
oblivus__8xL40_48GB__252__464,L40,252.0,464,L40,8.0,"{""Gpus"":[{""Name"":""L40"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":393216}}],""TotalGpuMemoryInMiB"":3145728}",CA,MON1,8.4055,
massedcompute__1xL40_48GB__14__128,gpu_1x_l40,14.0,128,L40,1.0,"{""Gpus"":[{""Name"":""L40"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",US,us-central-3,0.71,
massedcompute__2xL40_48GB__26__256,gpu_2x_l40,26.0,256,L40,2.0,"{""Gpus"":[{""Name"":""L40"",""Count"":2,""MemoryInfo"":{""SizeInMiB"":98304}}],""TotalGpuMemoryInMiB"":196608}",US,us-central-3,1.42,
massedcompute__4xL40_48GB__50__512,gpu_4x_l40,50.0,512,L40,4.0,"{""Gpus"":[{""Name"":""L40"",""Count"":4,""MemoryInfo"":{""SizeInMiB"":196608}}],""TotalGpuMemoryInMiB"":786432}",US,us-central-3,2.85,
latitude__8xL40_48GB__128__1536,g3-l40s-large,128.0,1536,L40,8.0,"{""Gpus"":[{""Name"":""L40"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":393216}}],""TotalGpuMemoryInMiB"":3145728}",DE,FRA2,6.97,
datacrunch__1xL40S_48GB__20__60,1L40S.20V,20.0,60,L40S,1.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",FI,FIN-02,0.91,
datacrunch__1xL40S_48GB__20__60__SPOT,1L40S.20V_SPOT,20.0,60,L40S,1.0,"{""Gpus"":[{""Name"":""L40S"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",FI,FIN-02,,0.26
