InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice,Provider,OperatingSystem,SpheronInstanceType
A4000x2_668d6762247d03149a4c946f_newyork-usa-1,A4000_PCIE,2.0,16.0,90.0,2.112,newyork-usa-1,"{""Gpus"": [{""Name"": ""A4000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A4000_668d6762247d03149a4c946f_newyork-usa-1,A4000_PCIE,1.0,8.0,45.0,1.056,newyork-usa-1,"{""Gpus"": [{""Name"": ""A4000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 16384}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
n3-RTX-A4000x1__NORWAY-1,A4000_PCIE,1.0,4.0,21.0,0.1655,NORWAY-1,"{""Gpus"": [{""Name"": ""A4000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 16384}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-RTX-A4000x2__NORWAY-1,A4000_PCIE,2.0,8.0,43.0,0.3239,NORWAY-1,"{""Gpus"": [{""Name"": ""A4000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-RTX-A4000x4__NORWAY-1,A4000_PCIE,4.0,16.0,86.0,0.6407,NORWAY-1,"{""Gpus"": [{""Name"": ""A4000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
A16x16_668d6762247d03149a4c946b_singapore-singapore-1,A16_PCIE,16.0,96.0,960.0,12.1308,singapore-singapore-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 16.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 262144}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x8_668d6762247d03149a4c946b_singapore-singapore-1,A16_PCIE,8.0,48.0,496.0,5.3988,singapore-singapore-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 131072}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x8_668d6762247d03149a4c946b_bangalore-india-1,A16_PCIE,8.0,48.0,496.0,5.3988,bangalore-india-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 131072}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x8_668d6762247d03149a4c946b_atl,A16_PCIE,8.0,48.0,496.0,5.3988,atl,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 131072}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x4_668d6762247d03149a4c946b_singapore-singapore-1,A16_PCIE,4.0,24.0,256.0,2.706,singapore-singapore-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x4_668d6762247d03149a4c946b_bangalore-india-1,A16_PCIE,4.0,24.0,256.0,2.706,bangalore-india-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x4_668d6762247d03149a4c946b_frankfurt-germany-6,A16_PCIE,4.0,24.0,256.0,2.706,frankfurt-germany-6,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x4_668d6762247d03149a4c946b_chicago-usa-1,A16_PCIE,4.0,24.0,256.0,2.706,chicago-usa-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x4_668d6762247d03149a4c946b_newark-usa-1,A16_PCIE,4.0,24.0,256.0,2.706,newark-usa-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x4_668d6762247d03149a4c946b_atl,A16_PCIE,4.0,24.0,256.0,2.706,atl,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_sanjose-usa-1,A16_PCIE,2.0,12.0,128.0,1.3464,sanjose-usa-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_bangalore-india-1,A16_PCIE,2.0,12.0,128.0,1.3464,bangalore-india-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_singapore-singapore-1,A16_PCIE,2.0,12.0,128.0,1.3464,singapore-singapore-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_london-uk-1,A16_PCIE,2.0,12.0,128.0,1.3464,london-uk-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_newark-usa-1,A16_PCIE,2.0,12.0,128.0,1.3464,newark-usa-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_frankfurt-germany-6,A16_PCIE,2.0,12.0,128.0,1.3464,frankfurt-germany-6,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_tokyo-japan-2,A16_PCIE,2.0,12.0,128.0,1.3464,tokyo-japan-2,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_chicago-usa-1,A16_PCIE,2.0,12.0,128.0,1.3464,chicago-usa-1,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
A16x2_668d6762247d03149a4c946b_atl,A16_PCIE,2.0,12.0,128.0,1.3464,atl,"{""Gpus"": [{""Name"": ""A16_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.0_shade_os,DEDICATED
L4x8_677dc00033f3247083221e73_paris-france-1,L4_PCIE,8.0,64.0,384.0,8.8044,paris-france-1,"{""Gpus"": [{""Name"": ""L4_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 24576}, ""TotalGpuMemoryInMiB"": 196608}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
