InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
n2d-highcpu-4,4.0,4.0,,,,asia-south2,asia-south2-b,0.14984,0.06825
n2d-highcpu-4,4.0,4.0,,,,asia-south2,asia-south2-c,0.14984,0.06825
n2d-highcpu-4,4.0,4.0,,,,asia-southeast1,asia-southeast1-a,0.1539,0.02875
n2d-highcpu-4,4.0,4.0,,,,asia-southeast1,asia-southeast1-b,0.1539,0.02875
n2d-highcpu-4,4.0,4.0,,,,asia-southeast1,asia-southeast1-c,0.1539,0.02875
n2d-highcpu-4,4.0,4.0,,,,asia-southeast2,asia-southeast2-a,0.16776,0.03905
n2d-highcpu-4,4.0,4.0,,,,asia-southeast2,asia-southeast2-b,0.16776,0.03905
n2d-highcpu-4,4.0,4.0,,,,asia-southeast2,asia-southeast2-c,0.16776,0.03905
n2d-highcpu-4,4.0,4.0,,,,australia-southeast1,australia-southeast1-a,0.17702,0.05751
n2d-highcpu-4,4.0,4.0,,,,australia-southeast1,australia-southeast1-b,0.17702,0.05751
n2d-highcpu-4,4.0,4.0,,,,australia-southeast1,australia-southeast1-c,0.17702,0.05751
n2d-highcpu-4,4.0,4.0,,,,australia-southeast2,australia-southeast2-a,0.15047,0.0327
n2d-highcpu-4,4.0,4.0,,,,australia-southeast2,australia-southeast2-b,0.15047,0.0327
n2d-highcpu-4,4.0,4.0,,,,australia-southeast2,australia-southeast2-c,0.15047,0.0327
n2d-highcpu-4,4.0,4.0,,,,europe-central2,europe-central2-a,0.15095,0.06884
n2d-highcpu-4,4.0,4.0,,,,europe-central2,europe-central2-b,0.15095,0.06884
n2d-highcpu-4,4.0,4.0,,,,europe-central2,europe-central2-c,0.15095,0.06884
n2d-highcpu-4,4.0,4.0,,,,europe-north1,europe-north1-a,0.13736,0.0352
n2d-highcpu-4,4.0,4.0,,,,europe-north1,europe-north1-b,0.13736,0.0352
n2d-highcpu-4,4.0,4.0,,,,europe-north1,europe-north1-c,0.13736,0.0352
n2d-highcpu-4,4.0,4.0,,,,europe-southwest1,europe-southwest1-a,0.14721,0.07086
n2d-highcpu-4,4.0,4.0,,,,europe-southwest1,europe-southwest1-b,0.14721,0.07086
n2d-highcpu-4,4.0,4.0,,,,europe-southwest1,europe-southwest1-c,0.14721,0.07086
n2d-highcpu-4,4.0,4.0,,,,europe-west1,europe-west1-b,0.13723,0.04939
n2d-highcpu-4,4.0,4.0,,,,europe-west1,europe-west1-c,0.13723,0.04939
n2d-highcpu-4,4.0,4.0,,,,europe-west1,europe-west1-d,0.13723,0.04939
n2d-highcpu-4,4.0,4.0,,,,europe-west10,europe-west10-a,0.16074,0.01846
n2d-highcpu-4,4.0,4.0,,,,europe-west10,europe-west10-b,0.16074,0.01846
n2d-highcpu-4,4.0,4.0,,,,europe-west10,europe-west10-c,0.16074,0.01846
n2d-highcpu-4,4.0,4.0,,,,europe-west12,europe-west12-a,0.16093,0.01938
n2d-highcpu-4,4.0,4.0,,,,europe-west12,europe-west12-b,0.16093,0.01938
n2d-highcpu-4,4.0,4.0,,,,europe-west12,europe-west12-c,0.16093,0.01938
n2d-highcpu-4,4.0,4.0,,,,europe-west2,europe-west2-a,0.16073,0.05045
n2d-highcpu-4,4.0,4.0,,,,europe-west2,europe-west2-b,0.16073,0.05045
n2d-highcpu-4,4.0,4.0,,,,europe-west2,europe-west2-c,0.16073,0.05045
n2d-highcpu-4,4.0,4.0,,,,europe-west3,europe-west3-a,0.16073,0.08035
n2d-highcpu-4,4.0,4.0,,,,europe-west3,europe-west3-b,0.16073,0.08035
n2d-highcpu-4,4.0,4.0,,,,europe-west3,europe-west3-c,0.16073,0.08035
n2d-highcpu-4,4.0,4.0,,,,europe-west4,europe-west4-a,0.13734,0.02734
n2d-highcpu-4,4.0,4.0,,,,europe-west4,europe-west4-b,0.13734,0.02734
n2d-highcpu-4,4.0,4.0,,,,europe-west4,europe-west4-c,0.13734,0.02734
n2d-highcpu-4,4.0,4.0,,,,europe-west6,europe-west6-a,0.16342,0.04817
n2d-highcpu-4,4.0,4.0,,,,europe-west6,europe-west6-b,0.16342,0.04817
n2d-highcpu-4,4.0,4.0,,,,europe-west6,europe-west6-c,0.16342,0.04817
n2d-highcpu-4,4.0,4.0,,,,europe-west8,europe-west8-a,0.14471,0.02018
n2d-highcpu-4,4.0,4.0,,,,europe-west8,europe-west8-b,0.14471,0.02018
n2d-highcpu-4,4.0,4.0,,,,europe-west8,europe-west8-c,0.14471,0.02018
n2d-highcpu-4,4.0,4.0,,,,europe-west9,europe-west9-a,0.14471,0.0356
n2d-highcpu-4,4.0,4.0,,,,europe-west9,europe-west9-b,0.14471,0.0356
n2d-highcpu-4,4.0,4.0,,,,europe-west9,europe-west9-c,0.14471,0.0356
n2d-highcpu-4,4.0,4.0,,,,me-central1,me-central1-a,0.15157,0.03253
n2d-highcpu-4,4.0,4.0,,,,me-central1,me-central1-b,0.15157,0.03253
n2d-highcpu-4,4.0,4.0,,,,me-central1,me-central1-c,0.15157,0.03253
n2d-highcpu-4,4.0,4.0,,,,me-central2,me-central2-a,0.1996,0.02681
n2d-highcpu-4,4.0,4.0,,,,me-central2,me-central2-b,0.1996,0.02681
n2d-highcpu-4,4.0,4.0,,,,me-central2,me-central2-c,0.1996,0.02681
n2d-highcpu-4,4.0,4.0,,,,me-west1,me-west1-a,0.13723,0.02441
n2d-highcpu-4,4.0,4.0,,,,me-west1,me-west1-b,0.13723,0.02441
n2d-highcpu-4,4.0,4.0,,,,me-west1,me-west1-c,0.13723,0.02441
n2d-highcpu-4,4.0,4.0,,,,northamerica-northeast1,northamerica-northeast1-a,0.13734,0.06486
n2d-highcpu-4,4.0,4.0,,,,northamerica-northeast1,northamerica-northeast1-b,0.13734,0.06486
n2d-highcpu-4,4.0,4.0,,,,northamerica-northeast1,northamerica-northeast1-c,0.13734,0.06486
n2d-highcpu-4,4.0,4.0,,,,northamerica-northeast2,northamerica-northeast2-a,0.13734,0.04164
n2d-highcpu-4,4.0,4.0,,,,northamerica-northeast2,northamerica-northeast2-b,0.13734,0.04164
n2d-highcpu-4,4.0,4.0,,,,northamerica-northeast2,northamerica-northeast2-c,0.13734,0.04164
